client_id,occupation,Income_level,investment_tenure,Recency,monetary,Frequency(annual),total_investment_value,age
1,BUSINESS,5638940,6,2,1,5,1560626,48
2,JOB,4583509,5,4,1,5,4628482,30
3,JOB,6605318,2,1,2,1,6852319,30
4,JOB,5418096,4,4,5,3,12140317,48
5,FREELANCER,5376551,3,5,5,5,9367762,40
6,BUSINESS,2456420,5,5,4,3,3321542,28
7,JOB,3859835,1,5,4,4,7813160,28
8,RETIRED,4204989,5,2,5,5,15633760,28
9,FREELANCER,4363869,4,4,2,2,6426456,35
10,JOB,2371504,4,4,3,2,8713961,22
11,BUSINESS,5817917,3,5,3,5,9084323,36
12,JOB,2766797,7,2,3,1,9915680,23
13,JOB,2647353,5,3,2,4,3511741,18
14,BUSINESS,7205142,8,4,5,1,15525833,47
15,JOB,2921982,3,1,3,5,12903205,33
16,JOB,618705,1,1,3,4,5156121,18
17,JOB,742223,1,2,5,4,631338,27
18,FREELANCER,1389571,1,1,5,3,8959922,34
19,JOB,3327245,5,2,5,5,8491617,21
20,BUSINESS,8637421,1,2,2,2,5188419,26
21,BUSINESS,1913240,4,5,4,2,18803268,26
22,JOB,705236,5,1,3,5,13513151,51
23,JOB,7713195,8,2,5,2,9206986,32
24,RETIRED,4120375,6,3,5,3,5098463,22
25,RETIRED,8599260,4,4,5,5,10544143,41
26,JOB,3643682,1,2,3,5,4849885,35
27,JOB,5721121,3,5,1,1,2894546,18
28,BUSINESS,3252321,4,1,4,5,3835615,19
29,JOB,9025776,5,2,1,2,1535049,34
30,JOB,10727219,4,3,2,3,15219796,31
31,RETIRED,1143724,3,5,1,5,5172643,29
32,BUSINESS,9801921,5,5,5,5,4659109,25
33,BUSINESS,813068,4,4,2,2,7589613,36
34,JOB,1327092,5,3,3,4,10064371,18
35,BUSINESS,2620041,3,4,1,4,9646244,43
36,RETIRED,4286197,5,3,1,2,8010989,42
37,JOB,8183109,2,1,4,5,5221184,24
38,JOB,5941684,4,5,1,3,16015645,36
39,JOB,1657606,4,1,4,1,2966020,42
40,JOB,2393814,4,1,1,5,6416230,28
41,JOB,4201914,5,5,3,3,5440814,21
42,JOB,3199385,5,1,1,3,12330597,41
43,BUSINESS,4989742,2,4,2,1,3256237,46
44,JOB,3512735,7,2,5,2,3020309,32
45,FREELANCER,15338267,3,4,3,5,1856881,43
46,FREELANCER,8990723,6,5,4,4,8629570,48
47,JOB,4102124,4,5,4,5,7927015,30
48,JOB,4787891,5,5,1,2,7408863,18
49,JOB,9050693,6,2,2,1,11808180,47
50,JOB,9004006,1,3,3,5,11529901,27
51,FREELANCER,4297409,7,1,4,2,9682312,42
52,BUSINESS,4403416,7,3,5,2,4581555,36
53,JOB,11622045,4,5,4,4,9597994,38
54,JOB,1705357,2,4,2,1,5237328,33
55,FREELANCER,2762384,7,2,5,2,6341592,29
56,JOB,10750258,7,4,2,1,6322981,18
57,JOB,2241478,1,5,2,2,26051637,33
58,JOB,6879636,3,2,1,1,2639990,30
59,JOB,11546312,6,2,3,4,8792619,18
60,BUSINESS,7422032,3,4,5,5,4072226,24
61,RETIRED,6611116,4,5,2,3,3371504,31
62,JOB,9966217,5,1,5,5,1929026,37
63,JOB,5158205,3,4,4,4,3966607,51
64,FREELANCER,1132577,5,1,1,4,7184164,34
65,JOB,4841801,4,1,1,3,4010355,35
66,JOB,5905052,6,1,3,2,8980191,18
67,FREELANCER,8869163,4,5,5,5,10150143,57
68,BUSINESS,9363668,4,5,4,1,8634562,31
69,FREELANCER,6364968,4,3,5,5,4564148,36
70,FREELANCER,9311567,6,5,5,4,2865948,44
71,FREELANCER,982256,4,5,3,4,10605347,23
72,JOB,2667057,7,5,5,4,16352530,47
73,JOB,7228124,5,5,5,5,2066208,18
74,JOB,3237827,4,2,1,5,10599348,38
75,JOB,4617661,2,2,5,5,6789022,33
76,BUSINESS,12485522,5,5,3,3,2959468,27
77,JOB,1291377,8,2,5,5,14987187,18
78,JOB,3332275,6,5,4,4,8218675,22
79,JOB,9201059,6,5,3,4,2725098,37
80,RETIRED,2567240,1,5,4,4,3937913,23
81,JOB,3718294,3,1,6,5,3214046,48
82,FREELANCER,3778470,3,4,5,5,4770377,29
83,JOB,686082,4,1,2,4,4414628,41
84,RETIRED,4134525,4,5,6,5,6723776,20
85,RETIRED,5,5,2,1,4,5927262,35
86,JOB,3295394,2,5,1,4,11890879,18
87,JOB,7434150,9,1,3,2,10260394,35
88,BUSINESS,4401523,4,1,3,2,9607634,19
89,JOB,2244384,8,4,1,1,6053274,35
90,FREELANCER,6440940,5,1,3,3,4251649,37
91,JOB,3461583,7,1,2,5,14371813,21
92,BUSINESS,6944971,4,1,3,1,1097821,40
93,BUSINESS,5894349,5,3,3,5,921279,44
94,BUSINESS,2277372,4,2,1,5,8768369,24
95,JOB,2146796,7,1,2,2,11362480,30
96,BUSINESS,3911189,4,2,5,1,20016158,25
97,BUSINESS,1686489,1,5,5,4,11320013,24
98,JOB,3571845,7,5,1,5,13031285,24
99,JOB,8256421,3,2,6,5,3652062,36
100,BUSINESS,2430797,3,5,5,5,1584420,35
101,RETIRED,6078708,7,1,1,1,4630575,30
102,JOB,5274877,4,3,1,3,6966941,39
103,JOB,7431750,5,3,2,1,4434516,24
104,RETIRED,4091319,6,1,2,4,6108298,22
105,FREELANCER,6689045,6,5,1,2,1308964,37
106,JOB,2131959,6,3,3,4,23470115,30
107,BUSINESS,9729627,5,2,1,2,16131711,40
108,BUSINESS,11029544,4,4,5,1,5763598,32
109,BUSINESS,2542052,4,3,3,2,612191,24
110,JOB,686240,4,3,5,1,10360786,34
111,FREELANCER,6740040,5,3,5,1,1444170,21
112,JOB,3946762,2,2,1,3,14017004,38
113,FREELANCER,2785857,6,5,5,5,8881931,43
114,JOB,8052064,6,1,4,2,909216,38
115,BUSINESS,7043683,6,4,3,5,3952646,38
116,JOB,2519651,5,3,1,1,5417704,71
117,BUSINESS,1647739,7,3,3,5,8699551,42
118,FREELANCER,6075178,3,2,1,5,2352997,30
119,FREELANCER,5929896,3,4,3,5,10668353,33
120,BUSINESS,9526495,3,2,1,3,1515121,56
121,JOB,2583411,3,4,4,5,6629077,39
122,JOB,5349681,1,1,2,1,1230093,28
123,JOB,4074310,5,5,5,5,14692260,43
124,RETIRED,7887883,5,5,5,5,10367399,33
125,JOB,5346252,3,1,5,2,5627252,22
126,FREELANCER,9575003,1,2,1,2,13643810,25
127,BUSINESS,3592352,3,5,3,2,2110883,35
128,BUSINESS,12390546,3,5,2,3,13198922,33
129,JOB,9303556,6,4,1,1,17215379,54
130,FREELANCER,3856704,4,2,4,5,6767098,39
131,BUSINESS,1296751,6,5,3,4,9010934,26
132,JOB,4090994,2,3,5,3,1288520,41
133,RETIRED,5837261,5,2,1,5,1865293,25
134,JOB,11730471,2,3,6,5,4204379,41
135,JOB,8560203,1,4,1,3,13449559,20
136,JOB,2805777,8,5,3,4,14023734,28
137,RETIRED,3732955,7,4,1,5,11097916,26
138,RETIRED,6362262,5,2,3,4,1795727,50
139,JOB,1464369,6,2,4,5,5269573,20
140,FREELANCER,5043786,5,4,5,4,10523288,54
141,BUSINESS,9991581,10,1,2,4,3377150,28
142,BUSINESS,3797190,4,2,4,2,15043575,37
143,JOB,6314338,1,5,2,2,12428407,40
144,JOB,6552913,3,1,6,4,2084520,18
145,BUSINESS,2540839,5,4,1,2,7821630,22
146,FREELANCER,2122910,3,5,3,1,5711343,30
147,FREELANCER,7261679,7,5,1,3,12040926,20
148,BUSINESS,6032279,5,1,5,3,10100212,49
149,JOB,8852963,4,5,3,1,7353399,28
150,FREELANCER,4962551,3,4,2,4,13509305,18
151,FREELANCER,5557898,3,1,5,4,4835315,44
152,RETIRED,4414051,4,5,4,5,7357929,33
153,FREELANCER,2821854,4,5,5,3,3752783,34
154,BUSINESS,8419811,6,5,5,5,7947464,26
155,FREELANCER,1083376,5,4,1,4,3224156,29
156,JOB,7507668,5,2,4,1,2853243,48
157,BUSINESS,1083701,5,4,4,1,14828717,54
158,JOB,2134130,6,4,4,3,14111266,30
159,JOB,4060789,7,1,4,4,5141585,28
160,FREELANCER,3361293,5,3,1,2,7739286,27
161,JOB,753762,7,5,2,4,3466692,36
162,BUSINESS,9888619,4,5,4,2,9153557,41
163,JOB,5543106,4,3,2,4,17259184,39
164,JOB,1035831,5,5,3,2,2949264,24
165,BUSINESS,1134967,6,5,2,4,5966373,27
166,BUSINESS,1263251,2,5,3,3,5490565,40
167,BUSINESS,12674540,1,1,2,1,21868959,39
168,RETIRED,5403248,2,2,4,1,10628182,34
169,BUSINESS,7380196,3,1,4,3,4289838,45
170,JOB,3549737,4,4,3,3,9561584,27
171,JOB,1704919,7,3,4,5,4894946,30
172,JOB,2334396,5,4,3,4,8732596,30
173,JOB,2206646,5,4,1,4,29616950,43
174,JOB,4953964,6,4,4,4,10667657,41
175,FREELANCER,6722178,7,5,5,4,1889491,46
176,BUSINESS,2472920,4,3,3,4,1750374,33
177,JOB,5968212,1,4,4,4,8868653,36
178,BUSINESS,7320827,5,1,1,4,11367942,33
179,JOB,1942285,7,2,2,1,3612788,53
180,RETIRED,8976242,2,4,4,4,18179255,22
181,BUSINESS,5563093,3,4,3,5,4533549,44
182,JOB,10232104,6,5,5,5,1292247,39
183,FREELANCER,3995955,4,1,3,4,20339546,24
184,JOB,5446876,5,2,2,2,5538488,33
185,JOB,4265519,2,2,2,2,8677676,26
186,JOB,2872606,6,5,4,2,5008149,42
187,FREELANCER,15351733,4,5,5,5,3309681,24
188,JOB,3573903,1,1,1,4,18331571,37
189,JOB,7962671,6,5,2,4,1779375,35
190,JOB,4924051,4,1,3,3,15300597,35
191,BUSINESS,4248929,2,5,3,2,9574181,18
192,JOB,2320528,6,3,3,2,11192757,25
193,BUSINESS,4359633,6,5,2,4,18858380,30
194,BUSINESS,4150557,5,1,5,2,22233452,36
195,BUSINESS,10555958,6,3,3,2,15966101,41
196,JOB,4182602,6,4,4,3,8011373,31
197,JOB,1429300,4,5,3,3,8338699,32
198,JOB,6641125,5,1,6,3,4046629,32
199,RETIRED,6231482,2,2,5,5,10022847,36
200,BUSINESS,6013932,2,2,4,4,12685831,24
201,BUSINESS,9365863,5,2,3,1,4371835,48
202,JOB,2000958,5,4,3,5,13157642,31
203,BUSINESS,3313723,5,3,5,2,3683578,37
204,RETIRED,2154479,4,2,3,4,10609746,39
205,JOB,2671238,7,2,1,2,6613857,28
206,JOB,8461460,2,3,2,3,2577002,54
207,JOB,6763073,3,1,4,5,13443104,25
208,FREELANCER,7937819,7,4,3,3,9695241,54
209,JOB,1182566,6,4,1,3,3518964,24
210,BUSINESS,13985786,5,2,6,1,15641710,27
211,FREELANCER,15266562,2,1,4,1,3195602,34
212,JOB,8203034,3,3,5,5,9816901,36
213,FREELANCER,5855208,4,1,1,5,7056914,42
214,FREELANCER,7269455,5,3,4,3,5513459,27
215,RETIRED,7197268,6,4,4,1,4812280,24
216,JOB,3847732,4,5,2,4,10717281,37
217,JOB,3037395,4,2,2,1,6582376,19
218,FREELANCER,2619376,5,5,2,3,15304676,51
219,RETIRED,1581174,9,3,2,1,6326982,28
220,JOB,3047635,4,4,2,2,4351085,18
221,RETIRED,10310793,4,5,4,4,7658952,27
222,BUSINESS,6845519,4,2,4,4,4809149,33
223,JOB,1476043,4,2,4,3,18227588,31
224,RETIRED,5917121,4,4,1,3,4156274,34
225,JOB,2988142,1,2,2,2,10208273,40
226,BUSINESS,4242978,2,3,4,4,4737564,45
227,JOB,4597955,3,2,3,1,9370629,25
228,JOB,2445237,5,2,2,1,5808671,48
229,JOB,4871893,5,5,1,5,4890422,34
230,BUSINESS,3922061,3,5,4,5,7578636,44
231,FREELANCER,9670320,5,5,1,4,7003899,33
232,FREELANCER,787099,4,2,3,2,5207265,50
233,JOB,5134697,2,5,5,1,4945980,42
234,JOB,2509308,3,5,5,5,1650956,39
235,BUSINESS,2927886,5,2,3,3,25594296,46
236,JOB,9045484,4,5,1,3,9352572,18
237,JOB,5749566,4,1,2,4,11074041,40
238,FREELANCER,8935017,5,2,5,3,1644388,33
239,FREELANCER,4387470,4,3,1,5,4614911,19
240,RETIRED,4774358,3,3,4,4,4279074,32
241,JOB,5302952,6,1,3,1,6189581,18
242,JOB,4357084,4,4,1,2,5478473,32
243,FREELANCER,2024633,3,4,5,2,8708242,19
244,RETIRED,2386984,7,1,1,1,9833446,39
245,RETIRED,3343718,7,1,5,4,8015483,36
246,FREELANCER,2184284,3,3,2,1,8779471,23
247,JOB,10640268,7,3,2,3,5474063,22
248,JOB,10048071,6,2,3,4,9630918,25
249,JOB,8363546,5,3,1,1,12740972,31
250,JOB,4433298,4,4,1,5,10359017,27
251,JOB,8590304,6,4,1,1,5977203,21
252,JOB,933659,5,1,1,4,3898713,52
253,BUSINESS,1854548,6,2,4,1,3520415,33
254,JOB,2660227,3,2,3,5,9592630,39
255,JOB,3488618,4,4,2,3,5938648,30
256,RETIRED,7550562,8,1,1,4,26991948,18
257,BUSINESS,8308993,2,5,2,3,6475423,49
258,JOB,8585424,6,2,2,4,4559493,38
259,BUSINESS,4671442,4,2,1,2,5323440,36
260,BUSINESS,2466123,5,2,2,1,11484400,44
261,BUSINESS,5451211,5,5,5,5,1427203,31
262,BUSINESS,3233233,5,1,5,5,3460367,23
263,BUSINESS,3558650,6,2,5,5,6716276,25
264,JOB,1908663,1,3,1,5,1928926,26
265,FREELANCER,9458566,4,5,2,5,17236027,41
266,JOB,1191810,5,2,3,5,4437979,24
267,JOB,8049179,2,4,2,3,6580165,48
268,JOB,3177134,2,1,2,5,1810869,38
269,BUSINESS,13556502,6,2,2,4,3571939,22
270,JOB,3816276,2,2,1,2,7375108,31
271,RETIRED,4126705,6,3,5,5,11757600,24
272,BUSINESS,3515023,1,1,4,3,2302196,42
273,BUSINESS,2034299,3,3,2,1,6336736,52
274,FREELANCER,7809123,3,3,6,5,16245094,38
275,FREELANCER,5551815,4,1,3,3,738273,24
276,BUSINESS,4623200,8,2,3,3,13116716,35
277,JOB,13482947,6,4,3,1,2642418,32
278,FREELANCER,7333196,3,5,3,3,9860579,23
279,JOB,2619230,3,4,1,3,2380556,27
280,JOB,1941452,6,2,1,1,1190773,40
281,JOB,6527701,5,2,1,5,6149617,38
282,FREELANCER,1492366,7,3,3,2,11381354,23
283,RETIRED,4547106,6,3,1,3,20004444,33
284,JOB,3651562,1,3,4,4,11905962,40
285,JOB,6851448,3,4,4,2,1436661,38
286,FREELANCER,5725221,8,1,5,3,5604501,25
287,JOB,2750942,6,1,1,4,3454451,18
288,JOB,2472346,4,4,2,1,7275430,33
289,JOB,6346772,6,5,2,1,7994954,35
290,FREELANCER,5454149,6,5,1,3,8493463,23
291,FREELANCER,2836120,4,2,2,4,6566082,39
292,RETIRED,7535285,8,4,5,3,1351976,18
293,RETIRED,10615880,5,4,1,3,1325723,32
294,FREELANCER,2977549,6,4,3,2,16951771,26
295,RETIRED,3382627,5,5,2,2,1955074,41
296,BUSINESS,5274036,6,5,5,2,6967503,21
297,JOB,2189251,5,5,1,4,9241435,38
298,BUSINESS,5183845,8,3,4,5,10809835,47
299,BUSINESS,3103071,4,4,4,2,19780499,18
300,BUSINESS,2151228,4,5,1,4,3113355,30
301,FREELANCER,5922495,6,5,1,1,20069795,26
302,FREELANCER,9252867,4,3,4,3,13664442,31
303,BUSINESS,1763166,1,4,5,2,6648239,44
304,BUSINESS,9622970,4,5,5,5,11863871,35
305,FREELANCER,3786185,6,4,3,2,3876605,36
306,JOB,1199616,5,2,5,5,9228351,28
307,FREELANCER,989251,5,2,1,5,12764955,36
308,BUSINESS,3604838,3,5,4,4,5271251,28
309,FREELANCER,3652996,6,4,2,5,668865,35
310,JOB,4074785,5,3,1,3,11420980,41
311,JOB,6609716,3,2,5,1,7369819,29
312,BUSINESS,6385579,2,3,2,5,20954208,30
313,RETIRED,5122301,5,1,5,5,8093256,40
314,JOB,2597905,2,2,4,3,11599196,36
315,RETIRED,6210580,2,5,5,5,1022842,28
316,BUSINESS,8483952,3,5,3,2,15779268,34
317,JOB,1842489,8,2,2,5,20654191,35
318,JOB,689573,2,4,5,2,1975489,41
319,JOB,1745982,7,3,5,5,9689686,27
320,JOB,6490959,2,3,1,4,8041975,23
321,JOB,9022292,5,5,4,1,8606356,36
322,JOB,10882358,5,5,1,1,628058,41
323,JOB,5214019,5,3,2,5,13997695,37
324,JOB,3992742,3,4,3,2,8113049,51
325,BUSINESS,2847085,6,2,2,1,13096890,18
326,JOB,4001470,1,1,1,4,5967602,39
327,BUSINESS,12331203,2,3,3,5,9836355,35
328,JOB,2860298,3,1,2,5,6509064,21
329,FREELANCER,1124201,4,3,2,2,3275269,57
330,RETIRED,4024503,2,5,3,2,2792193,34
331,FREELANCER,9020695,5,2,6,3,3116394,37
332,BUSINESS,7493566,8,1,5,3,2739160,48
333,FREELANCER,10332643,6,2,1,2,6252620,31
334,JOB,1475073,2,2,3,1,3016638,43
335,FREELANCER,5930695,8,4,3,3,3207929,48
336,BUSINESS,4770886,2,3,3,5,3661313,31
337,BUSINESS,12594632,3,2,1,2,9345585,28
338,BUSINESS,2987304,6,3,1,2,12120210,41
339,JOB,3567834,5,3,3,2,5766445,33
340,JOB,8749404,5,5,2,2,7074770,20
341,JOB,4770004,2,3,2,2,5336634,20
342,JOB,4254173,7,4,2,4,1259268,29
343,JOB,7033351,7,3,4,5,6976149,49
344,JOB,1004883,4,2,2,5,8250252,30
345,BUSINESS,12377951,6,1,5,1,6012098,18
346,JOB,1453808,4,4,5,5,1442305,39
347,JOB,3507773,6,5,5,5,1182930,51
348,BUSINESS,6779581,4,5,3,1,2313073,30
349,JOB,3469348,4,2,5,4,8789773,33
350,JOB,9421911,6,5,1,2,920873,32
351,BUSINESS,5160913,4,1,5,5,2507689,34
352,BUSINESS,6160027,1,2,1,1,16356165,31
353,JOB,5390384,8,5,2,2,3021840,27
354,JOB,3877600,3,2,4,3,10390737,25
355,JOB,4695475,4,1,5,1,14549987,48
356,JOB,7310376,3,2,2,2,1032330,18
357,JOB,2606974,3,2,2,3,12104364,43
358,BUSINESS,14542951,3,1,2,4,3165326,29
359,JOB,5078318,6,5,5,5,4886875,18
360,JOB,5238069,3,5,5,5,4732464,21
361,RETIRED,9988144,5,5,2,2,3259438,42
362,FREELANCER,2264268,5,4,5,2,13805625,40
363,JOB,1606766,5,2,4,1,1491175,27
364,JOB,4134900,5,3,5,4,4385483,29
365,JOB,4187375,4,1,2,2,10775487,37
366,JOB,7556948,7,2,3,1,20799888,29
367,BUSINESS,2101479,3,4,3,2,8886102,22
368,JOB,2542911,2,5,4,1,927086,39
369,BUSINESS,5839265,6,4,5,4,532079,29
370,BUSINESS,4717483,7,5,4,5,14981488,20
371,JOB,730446,6,5,3,4,5101582,31
372,BUSINESS,6020467,3,2,2,5,16173054,27
373,RETIRED,8130703,6,5,2,1,5386443,39
374,BUSINESS,8946583,1,1,5,1,10926104,49
375,BUSINESS,14732627,3,5,2,3,8814958,32
376,JOB,3427142,7,4,2,5,6980142,36
377,RETIRED,13639239,6,3,1,5,2319076,44
378,FREELANCER,13481318,4,5,4,5,7590168,34
379,RETIRED,9539732,4,3,1,4,5791981,34
380,FREELANCER,5806532,5,5,1,4,4589616,32
381,FREELANCER,2885892,3,4,2,2,11313657,40
382,BUSINESS,1973913,2,1,3,2,1227121,34
383,FREELANCER,668743,3,5,4,1,1121180,31
384,FREELANCER,7754625,7,4,5,2,12499475,36
385,JOB,8171831,2,1,5,4,9679733,25
386,JOB,2230364,4,3,2,1,4625667,43
387,JOB,9127175,5,3,5,3,11201059,35
388,FREELANCER,6164082,1,3,4,1,3911373,42
389,JOB,10529369,3,5,3,5,9246265,43
390,JOB,8081278,5,3,2,2,12663204,18
391,JOB,4944485,10,1,2,4,5016936,20
392,FREELANCER,8718077,5,3,5,2,554224,25
