client_id,occupation,Income_level,investment_tenure,Recency,monetary,Frequency(annual),total_investment_value,age
4,BUSINESS,5638940,6,2.0,1,5.0,1560626,48.0
5,JOB,4583509,5,4.0,1,5.0,4628482,30.0
6,JOB,6605318,2,1.0,2,1.0,6852319,30.0
7,JOB,5418096,4,4.0,5,3.0,12140317,48.0
8,FREELANCER,5376551,3,5.0,5,5.0,9367762,40.0
9,BUSINESS,2456420,5,5.0,4,3.0,3321542,28.0
11,JOB,3859835,1,5.0,4,4.0,7813160,28.0
12,RETIRED,4204989,5,2.0,3,5.0,15633760,28.0
13,FREELANCER,4363869,4,4.0,2,2.0,6426456,35.0
17,JOB,2371504,4,4.0,3,2.0,8713961,22.0
18,BUSINESS,5817917,3,5.0,3,5.0,9084323,36.0
19,JOB,2766797,7,2.0,3,1.0,9915680,23.0
20,JOB,2647353,5,3.0,2,4.0,3511741,18.0
21,BUSINESS,7205142,8,4.0,5,1.0,15525833,46.99999999999999
23,JOB,2921982,3,1.0,3,5.0,12903205,33.0
24,JOB,618705,1,1.0,3,4.0,5156121,18.0
25,JOB,742223,1,2.0,5,4.0,631338,27.0
26,FREELANCER,1389571,1,1.0,5,3.0,8959922,34.0
27,JOB,3327245,5,2.0,3,5.0,8491617,21.0
29,BUSINESS,8637421,1,2.0,2,2.0,5188419,26.0
31,BUSINESS,1913240,4,5.0,4,2.0,18803268,26.0
32,JOB,705236,5,1.0,3,5.0,13513151,51.0
33,JOB,7713195,8,2.0,5,2.0,9206986,32.0
34,RETIRED,4120375,6,3.0,3,3.0,5098463,22.0
35,RETIRED,8599260,4,4.0,5,2.0,10544143,41.0
37,JOB,3643682,1,2.0,3,5.0,4849885,35.0
38,JOB,5721121,3,5.0,1,1.0,2894546,18.0
39,BUSINESS,3252321,4,1.0,4,1.0,3835615,19.0
42,JOB,9025776,5,2.0,1,2.0,1535049,34.0
43,JOB,10727219,4,3.0,2,3.0,15219796,31.0
44,RETIRED,1143724,3,5.0,1,1.0,5172643,29.0
46,BUSINESS,9801921,5,5.0,5,5.0,4659109,25.0
49,BUSINESS,813068,4,4.0,2,2.0,7589613,36.0
50,JOB,1327092,5,3.0,3,4.0,10064371,18.0
55,BUSINESS,2620041,3,4.0,1,4.0,9646244,43.0
56,RETIRED,4286197,5,3.0,1,2.0,8010989,42.0
57,JOB,8183109,2,1.0,4,4.0,5221184,24.0
59,JOB,5941684,4,5.0,1,3.0,16015645,36.0
60,JOB,1657606,4,1.0,4,1.0,2966020,42.0
61,JOB,2393814,4,1.0,1,5.0,6416230,28.0
64,JOB,4201914,5,5.0,3,3.0,5440814,21.0
65,JOB,3199385,5,1.0,1,3.0,12330597,41.0
66,BUSINESS,4989742,2,4.0,2,1.0,3256237,45.99999999999999
67,JOB,3512735,7,2.0,5,2.0,3020309,32.0
68,FREELANCER,15338267,3,4.0,3,1.0,1856881,43.0
74,FREELANCER,8990723,6,5.0,4,4.0,8629570,48.0
78,JOB,4102124,4,5.0,4,5.0,7927015,30.0
80,JOB,4787891,5,5.0,1,2.0,7408863,18.0
83,JOB,9050693,6,2.0,2,1.0,11808180,46.99999999999999
84,JOB,9004006,1,3.0,3,3.0,11529901,27.0
87,FREELANCER,4297409,7,1.0,4,2.0,9682312,42.0
88,BUSINESS,4403416,7,3.0,5,2.0,4581555,36.0
90,JOB,11622045,4,5.0,4,4.0,9597994,38.0
91,JOB,1705357,2,4.0,2,1.0,5237328,33.0
95,FREELANCER,2762384,7,2.0,5,2.0,6341592,29.0
96,JOB,10750258,7,4.0,2,1.0,6322981,18.0
